record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000086,Evolution of artificial intelligence in breast cancer pathology: a bibliometric analysis.,10.1007/s12672-026-05388-0,EXCLUDE,review_editorial,none,adjudicator,"This is a bibliometric analysis of breast cancer pathology AI literature, not a primary model paper. It maps publications and abstract topics rather than presenting a generative or foundation model.","""This study... aims to conduct a bibliometric analysis""; ""BERTopic modeling was applied to extract semantic topics from abstracts""",review_editorial,text_component_unclear,review_editorial,none
rec_000087,Isoform function prediction via knowledge distillation from alternative splicing,10.70401/cbm.2026.0019,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000088,Client-server interfaces enable efficient agent-driven variant calling,10.64898/2026.06.25.734665,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000089,A novel model for assessing lymph node metastasis and the immune microenvironment in breast cancer by integrating digital pathology images and transcriptomics.,10.1007/s12672-026-05475-2,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000090,P30 Using large language models for the annotation of skin single-cell RNA sequencing datasets,10.1093/bjd/ljag151.069,EXCLUDE,application_wrapper,none,adjudicator,"The abstract evaluates existing LLMs for scRNAseq cluster annotation using DEG lists and UMAPs. This is a downstream application of off-the-shelf models, not a new text-bio foundational model.","""We evaluated the performance of LLMs in annotating cell clusters and subclusters from a skin scRNAseq dataset""",application_wrapper,none,application_wrapper,foundation_model_evidence_unclear
rec_000091,ID #56 Can AI inform decision-making in pediatric neuro-oncology?,10.1093/neuped/wuag026.005,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000092,Artificial intelligence (AI)-assisted diagnosis of skin diseases: From image classification to dermatology-specific multimodal clinical reasoning.,10.35772/ghm.2026.01058,EXCLUDE,review_editorial,none,adjudicator,"The abstract explicitly says this is a review of AI-assisted dermatology and summarizes prior work. It mentions LLMs and foundation models conceptually, but does not present a primary model.","""This review therefore frames AI-assisted dermatology""; ""we summarize ... large language models, vision-language systems, and dermatology foundation models""",review_editorial,none,review_editorial,paper_type_unclear
rec_000093,RepGene: Toward a Unified Gene Representation Space Robust to Missing Biological Views,10.64898/2026.06.11.731512,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000094,"Artificial intelligence-driven multi-omics integration for plant enhancement: advances, challenges, and future perspectives",10.1007/s10142-026-01932-x,EXCLUDE,review_editorial,none,adjudicator,"This is a review of AI-driven multi-omics integration in plant enhancement, not a primary model paper. The abstract discusses methods and future perspectives rather than introducing a text-bio generative model.","""This review examines advances in AI-enabled multi-omics integration related to plant enhancement""",review_editorial,none,review_editorial,paper_type_unclear
rec_000095,Valid Inference with Synthetic Data via Task Exchangeability,,EXCLUDE,EC1_no_bio_modality,none,adjudicator,"The paper is a methods article on synthetic data validity, with biomedical content only as an example rather than the focus. It does not clearly present a bio-centered text-bio model.","""LLM-generated 'silicon samples'""; ""proteomics research is accelerated by generative models""",EC1_no_bio_modality,none,none,paper_type_unclear
rec_000096,Glitch genes: embedding geometry predicts functional fragility in single-cell foundation models,10.64898/2026.06.22.733850,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000097,Artificial intelligence in forensic science: a systematic review. Part II: long-range postmortem interval estimation.,10.1007/s00414-026-03856-4,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000098,Towards Personalized Cancer Therapy: A Safe and Explainable Digital Twin-Driven Meta-Reinforcement Learning,10.47392/irjaeh.2026.0583,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000099,Transfer Learning for Low-resource Genomic Mutation Detection,10.1097/jce.0000000000000763,EXCLUDE,application_wrapper,none,adjudicator,"The abstract describes TP53 mutation detection using gene expression or DNA sequences with DNABERT transfer learning, which is downstream application of a pretrained genomic LM rather than a new generative text-bio foundation model. The bridge is task-specific classification, not a substantive text-bio generative model.","""DNABERT models both trained from scratch and fine-tuned via transfer learning""; ""framework for detecting TP53 mutations""",application_wrapper,none,EC3_not_generative,none
rec_000100,Adapting Generative Genome Foundation Model Evo for Functional Genomics Prediction via Progressive Fine-Tuning.,10.1109/TCBBIO.2026.3705107,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000101,JASPR: Joint Spatial Representation learning of histology and spatial genomics for improved virtual genomic screening and clinical prognostication,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000102,"AI-Driven Predictive Analytics for Multi-Hazard Infectious Disease Outbreak Forecasting in Low- And Middle-Income Countries: A Systematic Review and Meta-Analysis of Multimodal Data Fusion Approaches, Implementation Barriers, and Equity Pathways",10.47772/ijriss.2026.100500154,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000103,Accurate identification of cytochrome P450 proteins using multimodal integration of protein language models.,10.1016/j.ijbiomac.2026.153150,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000104,AttMM: Attention-Augmented Multimodal Deep Learning Architecture for Quantitative Phenotyping of Prostate Cancer Cells in Imaging Flow Cytometry,10.1109/ACCESS.2026.3680427,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000105,Can neurons speak? Semantic narration of vision at single-cell resolution,,EXCLUDE,application_wrapper,none,adjudicator,"The abstract presents a spike-to-language narration pipeline built on a frozen CLIP and multimodal language model, so it is an application of existing generative components rather than evidence of a new foundation model. The biological and text elements are present, but the model is task-specific and wrapper-like.","""decodes spiking activity into free-form natural-language narration""; ""frozen CLIP""; ""multimodal language model""",none,none,application_wrapper,none
rec_000106,Tabular Foundation Models Are Competitive Cellular Perturbation Predictors Across Biological Scales,10.64898/2026.06.28.735106,EXCLUDE,benchmark_resource,none,adjudicator,This is a comparative evaluation of Tabular Foundation Models against specialized biological architectures across perturbation prediction settings. It does not describe a text component or a generative model.,"""We evaluate the power of Tabular Foundation Models such as TabICL and TabPFN""; ""against domain-specific architectures""",benchmark_resource,none,EC3_not_generative,none
rec_000107,Elucidating the Design Space of Generative Models for Single-Cell Perturbation Prediction,10.64898/2026.06.15.732063,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
rec_000108,Bayesian Hyperparameter Optimization Improves scGPT Fine-Tuning for Single-Cell Multi-Omics Integration.,10.1093/bioinformatics/btag374,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000109,Partial-Label Metric Ceilings for Evaluating Gene Regulatory Networks Inferred from Single-Cell Foundation Models.,10.1016/j.biosystems.2026.105864,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000110,MycoCirc: A Pan-Fungal Multi-Modal Pretrained Model for Fungal circRNA Prediction from Genome Sequence,10.64898/2026.06.29.735431,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000111,Experimental Design Dominates Model Architecture in Multi-Model Cancer Classification: A Translational Bioinformatics Analysis Across Small-n and Large-n Regimes,10.21203/rs.3.rs-10108796/v1,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000112,A unified framework for the systematic detection of microproteins in standard proteomics workflows using a Ribo-seq informed transcriptomic language model,10.21203/rs.3.rs-9982577/v1,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000113,Computational Methods for Alzheimer’s Disease Diagnosis: A Systematic Review of Deep Learning and Federated Learning with Clinical and Privacy Perspectives,10.1007/s11831-026-10708-2,EXCLUDE,review_editorial,none,adjudicator,"The abstract explicitly states this is a systematic review of AI methods for Alzheimer’s diagnosis, not a primary model paper. It summarizes existing approaches and research gaps rather than proposing a generative text-bio model.","""This systematic review""; ""evaluate the role of Artificial Intelligence in AD diagnosis""",review_editorial,none,review_editorial,none
rec_000114,Imaging the hallmarks of cancer,10.1038/s41568-026-00950-y,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000115,Identification of Moonlighting Proteins from Published Literature Using Natural Language Processing and AI,10.1007/s10930-026-10340-w,EXCLUDE,EC1_no_bio_modality,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC1_no_bio_modality,none,EC3_not_generative,none
rec_000116,Traditional search combined with problematizing prompts enhances scientific concept learning in simulation-based video lectures,10.1007/s10639-026-14041-w,EXCLUDE,EC1_no_bio_modality,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC1_no_bio_modality,none,application_wrapper,none
rec_000117,"Spatial transcriptomics in Alzheimer's disease: technologies, challenges and discoveries",10.1186/s44477-026-00036-x,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000118,Multilingual Hematology Visual Question Answering Dataset,,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000119,Contrastive and Adaptive Multi-modal Masked Autoencoder for Spatial Transcriptomics,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
